store_id,dept_id,store_type,status,reorder_point_usd,simulated_inventory_usd,excess_value_inr,abs_deviation_usd,alert_message
13,92,A,Overstocked,362404.2151953755,550351.9669624759,559888.4660612516,187947.75176710042,"Store 13, Dept 92: 1.5x reorder point - INR 559,888 excess tied up"
1,95,A,Overstocked,281263.02812491823,427640.03248972015,476875.6950944528,146377.00436480192,"Store 1, Dept 95: 1.5x reorder point - INR 476,876 excess tied up"
28,95,A,Overstocked,239947.37973092007,362215.900093327,190470.9312465905,122268.52036240691,"Store 28, Dept 95: 1.5x reorder point - INR 190,471 excess tied up"
2,90,A,Overstocked,204690.7119885926,308960.34907010896,159715.33023926534,104269.63708151635,"Store 2, Dept 90: 1.5x reorder point - INR 159,715 excess tied up"
10,38,B,Overstocked,193565.72137718764,291841.6350544352,123923.39805825806,98275.91367724753,"Store 10, Dept 38: 1.5x reorder point - INR 123,923 excess tied up"
20,8,A,Overstocked,168741.68556079664,254457.2920710248,111615.38957587638,85715.60651022816,"Store 20, Dept 8: 1.5x reorder point - INR 111,615 excess tied up"
2,91,A,Overstocked,169866.3256900735,255238.85208544068,36467.17467742527,85372.52639536717,"Store 2, Dept 91: 1.5x reorder point - INR 36,467 excess tied up"
20,2,A,Overstocked,165292.8752034914,249207.27367483336,105240.75217649137,83914.39847134196,"Store 20, Dept 2: 1.5x reorder point - INR 105,241 excess tied up"
40,95,A,Overstocked,155028.26518662984,236429.91155743107,322663.6435313638,81401.64637080123,"Store 40, Dept 95: 1.5x reorder point - INR 322,664 excess tied up"
41,90,A,Overstocked,157800.74757648606,238333.89500538202,135520.21217419434,80533.14742889596,"Store 41, Dept 90: 1.5x reorder point - INR 135,520 excess tied up"
23,92,B,Overstocked,149791.8863907724,228324.0801784367,301808.7991590858,78532.19378766432,"Store 23, Dept 92: 1.5x reorder point - INR 301,809 excess tied up"
17,95,B,Overstocked,128978.06539803254,195827.87172142445,195944.21082317788,66849.80632339191,"Store 17, Dept 95: 1.5x reorder point - INR 195,944 excess tied up"
6,9,A,Overstocked,131862.9383813201,198014.50153091605,18267.79859168004,66151.56314959595,"Store 6, Dept 9: 1.5x reorder point - INR 18,268 excess tied up"
11,2,A,Overstocked,128106.61291724762,192732.51043042014,47525.05752754319,64625.89751317252,"Store 11, Dept 2: 1.5x reorder point - INR 47,525 excess tied up"
37,92,C,Overstocked,123069.91149146474,185069.73232660824,38583.802421122935,61999.8208351435,"Store 37, Dept 92: 1.5x reorder point - INR 38,584 excess tied up"
40,38,A,Overstocked,93534.13195409611,140385.28429416489,6979.168130720704,46851.15234006877,"Store 40, Dept 38: 1.5x reorder point - INR 6,979 excess tied up"
4,10,A,Overstocked,91804.52066768221,138652.15687020574,78466.19710064164,46847.63620252353,"Store 4, Dept 10: 1.5x reorder point - INR 78,466 excess tied up"
4,92,A,Understocked,356102.88557719387,309313.3936394724,0.0,46789.4919377215,"Store 4, Dept 92: 13% below reorder point - restock recommended"
20,79,A,Overstocked,84354.80645948341,127210.06750802,56262.198959974485,42855.26104853659,"Store 20, Dept 79: 1.5x reorder point - INR 56,262 excess tied up"
41,95,A,Understocked,214146.1550522848,171547.3217749286,0.0,42598.8332773562,"Store 41, Dept 95: 20% below reorder point - restock recommended"
39,8,A,Overstocked,81662.23291234224,123513.31808834751,84657.40374623497,41851.085176005276,"Store 39, Dept 8: 1.5x reorder point - INR 84,657 excess tied up"
34,40,A,Overstocked,75642.61397074228,115072.55609588911,133516.7166013815,39429.94212514683,"Store 34, Dept 40: 1.5x reorder point - INR 133,517 excess tied up"
13,38,A,Understocked,190494.4124811411,156085.12269471728,0.0,34409.28978642382,"Store 13, Dept 38: 18% below reorder point - restock recommended"
6,92,A,Understocked,211067.88352656306,177722.93494949277,0.0,33344.94857707029,"Store 6, Dept 92: 16% below reorder point - restock recommended"
24,10,A,Overstocked,63041.443323003914,95330.98354188712,63811.94026264388,32289.54021888321,"Store 24, Dept 10: 1.5x reorder point - INR 63,812 excess tied up"
17,38,B,Understocked,190017.97592039622,158359.40107237827,0.0,31658.574848017946,"Store 17, Dept 38: 17% below reorder point - restock recommended"
26,8,A,Overstocked,62364.89875572373,93983.7033339107,36217.48162698411,31618.804578186973,"Store 26, Dept 8: 1.5x reorder point - INR 36,217 excess tied up"
29,72,B,Overstocked,62189.35430901209,93537.0151043215,20997.642186679994,31347.660795309414,"Store 29, Dept 72: 1.5x reorder point - INR 20,998 excess tied up"
31,90,A,Understocked,187143.11383271572,156291.4992367931,0.0,30851.614595922612,"Store 31, Dept 90: 16% below reorder point - restock recommended"
15,11,B,Overstocked,59196.044704284635,89319.28508605722,43593.09645931229,30123.240381772586,"Store 15, Dept 11: 1.5x reorder point - INR 43,593 excess tied up"
17,13,B,Overstocked,57140.888105988786,86640.78069995072,77144.22890030581,29499.89259396193,"Store 17, Dept 13: 1.5x reorder point - INR 77,144 excess tied up"
32,3,A,Overstocked,55340.33513113324,84486.39550104146,122499.10276035355,29146.060369908228,"Store 32, Dept 3: 1.5x reorder point - INR 122,499 excess tied up"
45,7,B,Overstocked,56603.74709500841,85653.64350416898,62085.89751747863,29049.896409160574,"Store 45, Dept 7: 1.5x reorder point - INR 62,086 excess tied up"
1,92,A,Understocked,298311.1210527401,269337.5592232604,0.0,28973.561829479702,"Store 1, Dept 92: 10% below reorder point - restock recommended"
40,16,A,Overstocked,55443.22514761353,84066.92928264059,74873.5995812845,28623.70413502706,"Store 40, Dept 16: 1.5x reorder point - INR 74,874 excess tied up"
20,38,A,Understocked,256441.88048352546,228012.79444814177,0.0,28429.08603538369,"Store 20, Dept 38: 11% below reorder point - restock recommended"
4,94,A,Understocked,161513.47258121634,133448.54592593806,0.0,28064.92665527828,"Store 4, Dept 94: 17% below reorder point - restock recommended"
7,16,B,Overstocked,53556.500390977046,81394.13975567899,87929.30104471388,27837.639364701943,"Store 7, Dept 16: 1.5x reorder point - INR 87,929 excess tied up"
13,90,A,Understocked,260759.74828085565,235134.8706262302,0.0,25624.877654625452,"Store 13, Dept 90: 10% below reorder point - restock recommended"
39,1,A,Overstocked,49971.762695686455,75125.27161541845,13913.088466767309,25153.50891973199,"Store 39, Dept 1: 1.5x reorder point - INR 13,913 excess tied up"
32,92,A,Understocked,210301.91413963278,185718.0467087245,0.0,24583.867430908285,"Store 32, Dept 92: 12% below reorder point - restock recommended"
41,97,A,Overstocked,47522.959484356885,71559.9400331393,22866.56694812981,24036.980548782412,"Store 41, Dept 97: 1.5x reorder point - INR 22,867 excess tied up"
7,10,B,Overstocked,46084.211851819484,70059.37985209336,77444.15217222311,23975.16800027388,"Store 7, Dept 10: 1.5x reorder point - INR 77,444 excess tied up"
39,92,A,Understocked,254010.47855004022,230522.44008153287,0.0,23488.03846850735,"Store 39, Dept 92: 9% below reorder point - restock recommended"
22,91,B,Overstocked,44847.51324119084,68330.42799411982,87910.12498368513,23482.914752928977,"Store 22, Dept 91: 1.5x reorder point - INR 87,910 excess tied up"
10,72,B,Understocked,267345.0834665658,244001.78926260103,0.0,23343.29420396479,"Store 10, Dept 72: 9% below reorder point - restock recommended"
19,46,A,Overstocked,43939.370641783826,66831.08769241923,76528.63356870894,22891.7170506354,"Store 19, Dept 46: 1.5x reorder point - INR 76,529 excess tied up"
27,40,A,Understocked,149305.64031525925,126513.10769145621,0.0,22792.53262380304,"Store 27, Dept 40: 15% below reorder point - restock recommended"
6,34,A,Overstocked,40911.00252691746,62310.2696296734,78332.56466166888,21399.26710275594,"Store 6, Dept 34: 1.5x reorder point - INR 78,333 excess tied up"
27,22,A,Overstocked,40480.26481830675,61826.48267399335,91805.09206225752,21346.2178556866,"Store 27, Dept 22: 1.5x reorder point - INR 91,805 excess tied up"
1,94,A,Understocked,145826.2802345147,124597.17761915586,0.0,21229.102615358846,"Store 1, Dept 94: 15% below reorder point - restock recommended"
18,95,B,Understocked,130124.25029524931,109036.18899128106,0.0,21088.06130396825,"Store 18, Dept 95: 16% below reorder point - restock recommended"
19,87,A,Overstocked,40953.81877125062,61804.16222176468,30995.027385766407,20850.34345051406,"Store 19, Dept 87: 1.5x reorder point - INR 30,995 excess tied up"
39,91,A,Understocked,133201.42204487693,112609.59510797133,0.0,20591.826936905607,"Store 39, Dept 91: 15% below reorder point - restock recommended"
21,8,B,Overstocked,38624.92336350557,59079.60204422358,94804.01091411366,20454.67868071801,"Store 21, Dept 8: 1.5x reorder point - INR 94,804 excess tied up"
14,98,A,Overstocked,38881.69250591709,59138.96276767949,67763.19273072013,20257.2702617624,"Store 14, Dept 98: 1.5x reorder point - INR 67,763 excess tied up"
10,9,B,Understocked,145429.66141847972,125571.50442365783,0.0,19858.156994821897,"Store 10, Dept 9: 14% below reorder point - restock recommended"
26,94,A,Understocked,102057.38973879069,82341.13514699171,0.0,19716.254591798977,"Store 26, Dept 94: 19% below reorder point - restock recommended"
25,9,B,Overstocked,38286.238031972316,57903.64088041574,39365.55809395306,19617.402848443424,"Store 25, Dept 9: 1.5x reorder point - INR 39,366 excess tied up"
26,97,A,Overstocked,36715.85607491835,55955.74540194764,73202.78703431945,19239.88932702929,"Store 26, Dept 97: 1.5x reorder point - INR 73,203 excess tied up"
34,82,A,Overstocked,36595.04695024415,55563.34333255731,55674.15129686023,18968.296382313165,"Store 34, Dept 82: 1.5x reorder point - INR 55,674 excess tied up"
27,94,A,Understocked,165627.16742851015,146809.50626085972,0.0,18817.661167650425,"Store 27, Dept 94: 11% below reorder point - restock recommended"
